neko.dev	1.46.0rc1	neko.dev:8448		
matrix.3dns.eu	1.46.0rc1	matrix.3dns.eu	Germany	🇩🇪
matrix.neko.dev	1.46.0rc1	matrix.neko.dev	Finland	🇫🇮
52k.de	1.45.1	52k.de	Germany	🇩🇪
stop.pe	1.45.1	stop.pe	Germany	🇩🇪
kvbx.de	1.45.1	kvbx.de	Germany	🇩🇪
asra.gr	1.45.1	asra.gr	Germany	🇩🇪
mtrx.nz	1.45.1	mtrx.nz	New Zealand	🇳🇿
zinz.dev	1.45.1	zinz.dev	France	🇫🇷
midov.pl	1.45.1	midov.pl	Poland	🇵🇱
envs.net	1.45.1	envs.net	Germany	🇩🇪
synod.im	1.45.1	synod.im	Germany	🇩🇪
kuvio.de	1.45.1	kuvio.de	Germany	🇩🇪
causa.li	1.45.1	causa.li	Canada	🇨🇦
mephis.to	1.45.1	mephis.to	Germany	🇩🇪
bau-ha.us	1.45.0	bau-ha.us	Germany	🇩🇪
sgstbr.de	1.45.1	sgstbr.de	Germany	🇩🇪
bau-ha.us	1.45.0	bau-ha.us:8448		
m.wfr.moe	1.45.1	m.wfr.moe	Austria	🇦🇹
im.f3l.de	1.45.1	im.f3l.de	Germany	🇩🇪
3000.chat	1.45.1	3000.chat	Finland	🇫🇮
dalek.zone	1.45.1	dalek.zone	Germany	🇩🇪
nitro.chat	1.45.1	nitro.chat	Germany	🇩🇪
lostpod.me	1.45.1	lostpod.me	France	🇫🇷
lomnik.net	1.45.1	lomnik.net	Germany	🇩🇪
spodeli.org	1.45.1	spodeli.org	United States of America	🇺🇸
piscaer.com	1.45.1	piscaer.com	Germany	🇩🇪
freitrix.de	1.45.1	freitrix.de	Russia	🇷🇺
eryukov.net	1.45.1	eryukov.net	Czechia	🇨🇿
tpurist.com	1.45.1	tpurist.com	United States of America	🇺🇸
chat.usr.nz	1.45.1	chat.usr.nz	New Zealand	🇳🇿
houtworm.im	1.45.1	houtworm.im	Netherlands	🇳🇱
